id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,nama_rumah_sakit,jenis_rumah_sakit,kelas_rumah_sakit,tahun
19,32,JAWA BARAT,3201,KABUPATEN BOGOR,RS IBU DAN ANAK ASSALAM,RUMAH SAKIT IBU DAN ANAK,C,2019
20,32,JAWA BARAT,3201,KABUPATEN BOGOR,RS IBU DAN ANAK KENARI GRAHA MEDIKA,RUMAH SAKIT IBU DAN ANAK,C,2019
21,32,JAWA BARAT,3201,KABUPATEN BOGOR,RS UMUM PERMATA JONGGOL,RUMAH SAKIT UMUM,C,2019
22,32,JAWA BARAT,3201,KABUPATEN BOGOR,RS UMUM KARYA BHAKTI PRATIWI,RUMAH SAKIT UMUM,C,2019
23,32,JAWA BARAT,3201,KABUPATEN BOGOR,RS UMUM RUMAH SEHAT TERPADU DOMPET DHUAFA,RUMAH SAKIT UMUM,C,2019
24,32,JAWA BARAT,3201,KABUPATEN BOGOR,RS EMC SENTUL,RUMAH SAKIT UMUM,B,2019
25,32,JAWA BARAT,3201,KABUPATEN BOGOR,RS UMUM ASYSYIFAA,RUMAH SAKIT UMUM,D,2019
26,32,JAWA BARAT,3201,KABUPATEN BOGOR,RS IBU DAN ANAK PERMATA PERTIWI,RUMAH SAKIT IBU DAN ANAK,C,2019
27,32,JAWA BARAT,3201,KABUPATEN BOGOR,RS HARAPAN SEHATI,RUMAH SAKIT UMUM,C,2019
28,32,JAWA BARAT,3201,KABUPATEN BOGOR,RS IBU DAN ANAK MELANIA,RUMAH SAKIT IBU DAN ANAK,D,2019
29,32,JAWA BARAT,3201,KABUPATEN BOGOR,RS EKA HOSPITAL,RUMAH SAKIT UMUM,B,2019
30,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,RS UMUM DAERAH SEKARWANGI,RUMAH SAKIT UMUM,B,2019
31,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,RS UMUM DAERAH PALABUHANRATU,RUMAH SAKIT UMUM,C,2019
32,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,RS UMUM DAERAH JAMPANG KULON,RUMAH SAKIT UMUM,C,2019
33,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,RS UMUM HERMINA,RUMAH SAKIT UMUM,C,2019
34,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,RS UMUM BETHA MEDIKA,RUMAH SAKIT UMUM,D,2019
35,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,RS UMUM BHAKTI MEDICARE,RUMAH SAKIT UMUM,C,2019
36,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,RS UMUM KARTIKA CIBADAK,RUMAH SAKIT UMUM,C,2019
37,32,JAWA BARAT,3203,KABUPATEN CIANJUR,RS UMUM DAERAH SAYANG,RUMAH SAKIT UMUM,B,2019
38,32,JAWA BARAT,3203,KABUPATEN CIANJUR,RS UMUM DAERAH CIMACAN,RUMAH SAKIT UMUM,C,2019
39,32,JAWA BARAT,3203,KABUPATEN CIANJUR,RS UMUM DR. HAFIZ,RUMAH SAKIT UMUM,C,2019
40,32,JAWA BARAT,3203,KABUPATEN CIANJUR,RS UMUM DAERAH PAGELARAN,RUMAH SAKIT UMUM,D,2019
41,32,JAWA BARAT,3204,KABUPATEN BANDUNG,RS UMUM DAERAH MAJALAYA,RUMAH SAKIT UMUM,B,2019
42,32,JAWA BARAT,3204,KABUPATEN BANDUNG,RS UMUM DAERAH AL IHSAN PROVINSI JAWA BARAT,RUMAH SAKIT UMUM,B,2019
43,32,JAWA BARAT,3204,KABUPATEN BANDUNG,RS UMUM DAERAH SOREANG,RUMAH SAKIT UMUM,C,2019
44,32,JAWA BARAT,3204,KABUPATEN BANDUNG,RS UMUM DAERAH CICALENGKA,RUMAH SAKIT UMUM,C,2019
45,32,JAWA BARAT,3204,KABUPATEN BANDUNG,RS UMUM BINA SEHAT,RUMAH SAKIT UMUM,D,2019
46,32,JAWA BARAT,3204,KABUPATEN BANDUNG,RS UMUM AMC,RUMAH SAKIT UMUM,C,2019
47,32,JAWA BARAT,3204,KABUPATEN BANDUNG,RS UMUM TNI AU LANUD SULAIMAN,RUMAH SAKIT UMUM,D,2019
48,32,JAWA BARAT,3204,KABUPATEN BANDUNG,RS UNGGUL KARSA MEDIKA,RUMAH SAKIT UMUM,C,2019
49,32,JAWA BARAT,3205,KABUPATEN GARUT,RS UMUM DAERAH DR. SLAMET GARUT,RUMAH SAKIT UMUM,B,2019
50,32,JAWA BARAT,3205,KABUPATEN GARUT,RS UMUM TK IV GUNTUR,RUMAH SAKIT UMUM,C,2019
51,32,JAWA BARAT,3205,KABUPATEN GARUT,RS UMUM DAERAH PAMEUNGPEUK PROV. JABAR,RUMAH SAKIT UMUM,D,2019
52,32,JAWA BARAT,3205,KABUPATEN GARUT,RS UMUM NURHAYATI GARUT,RUMAH SAKIT UMUM,D,2019
53,32,JAWA BARAT,3205,KABUPATEN GARUT,RS UMUM ANNISA QUEEN,RUMAH SAKIT UMUM,D,2019
54,32,JAWA BARAT,3205,KABUPATEN GARUT,RS UMUM INTAN HUSADA,RUMAH SAKIT UMUM,C,2019
55,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,RS UMUM DAERAH SINGAPARNA MEDIKA CITRAUTAMA,RUMAH SAKIT UMUM,C,2019
56,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,RS IBU DAN ANAK RESPATI,RUMAH SAKIT IBU DAN ANAK,C,2019
57,32,JAWA BARAT,3207,KABUPATEN CIAMIS,RS UMUM DAERAH KAB. CIAMIS,RUMAH SAKIT UMUM,C,2019
58,32,JAWA BARAT,3207,KABUPATEN CIAMIS,RS UMUM PERMATA BUNDA,RUMAH SAKIT UMUM,D,2019
59,32,JAWA BARAT,3207,KABUPATEN CIAMIS,RS UMUM AL - ARIF,RUMAH SAKIT UMUM,D,2019
60,32,JAWA BARAT,3207,KABUPATEN CIAMIS,RSU DADI KELUARGA CIAMIS,RUMAH SAKIT UMUM,C,2019
61,32,JAWA BARAT,3207,KABUPATEN CIAMIS,RS KHUSUS BEDAH RSOP CIAMIS,RUMAH SAKIT KHUSUS BEDAH,BELUM DITETAPKAN,2019
62,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,RS UMUM DAERAH 45 KUNINGAN,RUMAH SAKIT UMUM,B,2019
63,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,RS UMUM WIJAYA KUSUMAH,RUMAH SAKIT UMUM,C,2019
64,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,RS UMUM SEKAR KAMULYAN,RUMAH SAKIT UMUM,C,2019
65,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,RS UMUM JUANDA,RUMAH SAKIT UMUM,C,2019
66,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,RS UMUM EL - SYIFA,RUMAH SAKIT UMUM,D,2019
67,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,RS UMUM KUNINGAN MEDICAL CENTER,RUMAH SAKIT UMUM,C,2019
68,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,RS UMUM DAERAH LINGGAJATI KUNINGAN,RUMAH SAKIT UMUM,C,2019
69,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,RS UMUM KMC LURAGUNG,RUMAH SAKIT UMUM,D,2019
70,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,RS JANTUNG HASNA MEDIKA KUNINGAN,RUMAH SAKIT KHUSUS JANTUNG,C,2019
71,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,RS MITRA HUSADA CIAWIGEBANG,RUMAH SAKIT UMUM,D,2019
72,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,RS UMUM ARIA KAMUNING,RUMAH SAKIT UMUM,D,2019
73,32,JAWA BARAT,3209,KABUPATEN CIREBON,RS UMUM DAERAH WALED,RUMAH SAKIT UMUM,B,2019
74,32,JAWA BARAT,3209,KABUPATEN CIREBON,RS PERTAMINA CIREBON,RUMAH SAKIT UMUM,C,2019
75,32,JAWA BARAT,3209,KABUPATEN CIREBON,RS PARU PROVINSI JAWA BARAT,RUMAH SAKIT KHUSUS PARU,B,2019
76,32,JAWA BARAT,3209,KABUPATEN CIREBON,RS UMUM DAERAH ARJAWINANGUN,RUMAH SAKIT UMUM,B,2019
77,32,JAWA BARAT,3209,KABUPATEN CIREBON,RS UMUM MITRA PLUMBON,RUMAH SAKIT UMUM,B,2019
78,32,JAWA BARAT,3209,KABUPATEN CIREBON,RS UMUM SUMBER KASIH/HURIP,RUMAH SAKIT UMUM,C,2019
79,32,JAWA BARAT,3209,KABUPATEN CIREBON,RS UMUM SUMBER WARAS,RUMAH SAKIT UMUM,B,2019
80,32,JAWA BARAT,3209,KABUPATEN CIREBON,RS UMUM UNIVERSITAS MUHAMMADIYAH CIREBON,RUMAH SAKIT UMUM,C,2019
81,32,JAWA BARAT,3209,KABUPATEN CIREBON,RS IBU DAN ANAK KHALISHAH,RUMAH SAKIT IBU DAN ANAK,C,2019
82,32,JAWA BARAT,3209,KABUPATEN CIREBON,RS JANTUNG HASNA MEDIKA,RUMAH SAKIT KHUSUS JANTUNG,B,2019
83,32,JAWA BARAT,3209,KABUPATEN CIREBON,RS UMUM PERMATA CIREBON,RUMAH SAKIT UMUM,B,2019
84,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,RS UMUM DAERAH MAJALENGKA,RUMAH SAKIT UMUM,C,2019
85,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,RS UMUM DAERAH CIDERES,RUMAH SAKIT UMUM,C,2019
86,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,RS BEDAH BUDI KASIH,RUMAH SAKIT KHUSUS BEDAH,C,2019
87,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,RS IBU DAN ANAK MITRA PLUMBON MAJALENGKA,RUMAH SAKIT IBU DAN ANAK,C,2019
88,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,RS UMUM DAERAH SUMEDANG,RUMAH SAKIT UMUM,B,2019
89,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,RS UMUM PAKUWON,RUMAH SAKIT UMUM,C,2019
90,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,RS UMUM HARAPAN KELUARGA,RUMAH SAKIT UMUM,D,2019
91,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,RS UMUM DAERAH KAB. INDRAMAYU,RUMAH SAKIT UMUM,B,2019
92,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,RS UMUM DAERAH M.A. SENTOT PATROL,RUMAH SAKIT UMUM,C,2019
93,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,RS UMUM PERMATA MEDICAL CENTER,RUMAH SAKIT UMUM,D,2019
94,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,RS UMUM BHAYANGKARA INDRAMAYU,RUMAH SAKIT UMUM,C,2019
95,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,RS UMUM MM INDRAMAYU,RUMAH SAKIT UMUM,D,2019
96,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,RS UMUM PERTAMINA BALONGAN INDRAMAYU,RUMAH SAKIT UMUM,D,2019
97,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,RS UMUM DAERAH MURSID IBNU SYAFIUDDIN,RUMAH SAKIT UMUM,BELUM DITETAPKAN,2019
98,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,RS UMUM SYAHID AL IRSYAD,RUMAH SAKIT UMUM,D,2019
99,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,RS IBU DAN ANAK IRHAMNA INDRAMAYU,RUMAH SAKIT IBU DAN ANAK,C,2019
100,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,RS MITRA PLUMBON INDRAMAYU,RUMAH SAKIT UMUM,C,2019
101,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,RS UMUM SENTRA MEDIKA LANGUT,RUMAH SAKIT UMUM,D,2019
102,32,JAWA BARAT,3213,KABUPATEN SUBANG,RS UMUM DAERAH SUBANG,RUMAH SAKIT UMUM,B,2019
103,32,JAWA BARAT,3213,KABUPATEN SUBANG,RS UMUM PTPN VIII,RUMAH SAKIT UMUM,D,2019
104,32,JAWA BARAT,3213,KABUPATEN SUBANG,RS UMUM TNI AU LANUD SURYADARMA,RUMAH SAKIT UMUM,D,2019
105,32,JAWA BARAT,3213,KABUPATEN SUBANG,RS UMUM MUTIARA HATI,RUMAH SAKIT UMUM,D,2019
106,32,JAWA BARAT,3213,KABUPATEN SUBANG,RS UMUM PAMANUKAN MEDICAL CENTER (PMC),RUMAH SAKIT UMUM,C,2019
107,32,JAWA BARAT,3213,KABUPATEN SUBANG,RS UMUM HAJI SYAIFUL ANWAR,RUMAH SAKIT UMUM,D,2019
108,32,JAWA BARAT,3213,KABUPATEN SUBANG,RS UMUM KHARISMA,RUMAH SAKIT UMUM,D,2019
109,32,JAWA BARAT,3213,KABUPATEN SUBANG,RUMAH SAKIT BERSALIN GRHA MUTIARA,RUMAH SAKIT IBU DAN ANAK,C,2019
110,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,RS UMUM DAERAH BAYU ASIH,RUMAH SAKIT UMUM,B,2019
111,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,RS UMUM SILOAM PURWAKARTA,RUMAH SAKIT UMUM,B,2019
112,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,RS UMUM DR. ABDUL RADJAK,RUMAH SAKIT UMUM,B,2019
113,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,RS IBU DAN ANAK ASRI,RUMAH SAKIT IBU DAN ANAK,C,2019
114,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,RS UMUM RAMA HADI,RUMAH SAKIT UMUM,C,2019
115,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,RS UMUM AMIRA,RUMAH SAKIT UMUM,C,2019
116,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,RS IBU DAN ANAK DIAN,RUMAH SAKIT IBU DAN ANAK,C,2019
117,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,RS UMUM HOLISTIC PURWAKARTA,RUMAH SAKIT UMUM,D,2019
118,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,RS UMUM BHAKTI HUSADA II PURWAKARTA,RUMAH SAKIT UMUM,C,2019
119,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,RS UMUM KARINA MEDIKA,RUMAH SAKIT UMUM,D,2019
120,32,JAWA BARAT,3215,KABUPATEN KARAWANG,RS UMUM DAERAH KARAWANG,RUMAH SAKIT UMUM,B,2019
121,32,JAWA BARAT,3215,KABUPATEN KARAWANG,RS UMUM BAYUKARTA,RUMAH SAKIT UMUM,C,2019
122,32,JAWA BARAT,3215,KABUPATEN KARAWANG,RS UMUM KARYA HUSADA,RUMAH SAKIT UMUM,C,2019
123,32,JAWA BARAT,3215,KABUPATEN KARAWANG,RS UMUM PROKLAMASI,RUMAH SAKIT UMUM,C,2019
124,32,JAWA BARAT,3215,KABUPATEN KARAWANG,RS UMUM ISLAM KARAWANG,RUMAH SAKIT UMUM,C,2019
125,32,JAWA BARAT,3215,KABUPATEN KARAWANG,RS UMUM SARASWATI,RUMAH SAKIT UMUM,C,2019
126,32,JAWA BARAT,3215,KABUPATEN KARAWANG,RS UMUM DELIMA ASIH SISMA MEDIKA,RUMAH SAKIT UMUM,D,2019
127,32,JAWA BARAT,3215,KABUPATEN KARAWANG,RS IBU DAN ANAK DR. DJOKO PRAMONO,RUMAH SAKIT IBU DAN ANAK,C,2019
128,32,JAWA BARAT,3215,KABUPATEN KARAWANG,RS UMUM CITRA SARI HUSADA,RUMAH SAKIT UMUM,C,2019
129,32,JAWA BARAT,3215,KABUPATEN KARAWANG,RS UMUM IZZA,RUMAH SAKIT UMUM,C,2019
130,32,JAWA BARAT,3215,KABUPATEN KARAWANG,RS UMUM MANDAYA,RUMAH SAKIT UMUM,C,2019
131,32,JAWA BARAT,3215,KABUPATEN KARAWANG,RS UMUM DEWI SRI,RUMAH SAKIT UMUM,C,2019
132,32,JAWA BARAT,3215,KABUPATEN KARAWANG,RS UMUM LIRA MEDIKA,RUMAH SAKIT UMUM,C,2019
133,32,JAWA BARAT,3215,KABUPATEN KARAWANG,RS UMUM FIKRI MEDIKA,RUMAH SAKIT UMUM,C,2019
134,32,JAWA BARAT,3215,KABUPATEN KARAWANG,RS UMUM PURI ASIH,RUMAH SAKIT UMUM,C,2019
135,32,JAWA BARAT,3215,KABUPATEN KARAWANG,RS IBU DAN ANAK MITRA FAMILY,RUMAH SAKIT IBU DAN ANAK,C,2019
136,32,JAWA BARAT,3215,KABUPATEN KARAWANG,RS UMUM HELSA,RUMAH SAKIT UMUM,C,2019
137,32,JAWA BARAT,3215,KABUPATEN KARAWANG,RS IBU DAN ANAK SENTUL,RUMAH SAKIT IBU DAN ANAK,C,2019
138,32,JAWA BARAT,3215,KABUPATEN KARAWANG,RS UMUM ROSELA,RUMAH SAKIT UMUM,D,2019
139,32,JAWA BARAT,3215,KABUPATEN KARAWANG,RS UMUM SENTRAL MEDIKA,RUMAH SAKIT UMUM,D,2019
140,32,JAWA BARAT,3215,KABUPATEN KARAWANG,RS UMUM AMANDA MITRA KELUARGA,RUMAH SAKIT UMUM,D,2019
141,32,JAWA BARAT,3216,KABUPATEN BEKASI,RS UMUM BHAKTI HUSADA,RUMAH SAKIT UMUM,C,2019
142,32,JAWA BARAT,3216,KABUPATEN BEKASI,RS UMUM KARYA MEDIKA,RUMAH SAKIT UMUM,C,2019
143,32,JAWA BARAT,3216,KABUPATEN BEKASI,RS UMUM ANNISA,RUMAH SAKIT UMUM,C,2019
144,32,JAWA BARAT,3216,KABUPATEN BEKASI,RS UMUM SILOAM,RUMAH SAKIT UMUM,B,2019
145,32,JAWA BARAT,3216,KABUPATEN BEKASI,RS UMUM SENTRA MEDIKA,RUMAH SAKIT UMUM,B,2019
146,32,JAWA BARAT,3216,KABUPATEN BEKASI,RS UMUM HOSANA MEDICA,RUMAH SAKIT UMUM,C,2019
147,32,JAWA BARAT,3216,KABUPATEN BEKASI,RS UMUM DAERAH KAB.BEKASI,RUMAH SAKIT UMUM,B,2019
148,32,JAWA BARAT,3216,KABUPATEN BEKASI,RS UMUM HERMINA GRAND WISATA,RUMAH SAKIT UMUM,B,2019
149,32,JAWA BARAT,3216,KABUPATEN BEKASI,RS UMUM MEDIROSSA CIKARANG,RUMAH SAKIT UMUM,C,2019
150,32,JAWA BARAT,3216,KABUPATEN BEKASI,RS UMUM KARTIKA HUSADA,RUMAH SAKIT UMUM,C,2019
151,32,JAWA BARAT,3216,KABUPATEN BEKASI,RS UMUM KARYA MEDIKA II,RUMAH SAKIT UMUM,C,2019
152,32,JAWA BARAT,3216,KABUPATEN BEKASI,RS UMUM MULTAZAM MEDIKA,RUMAH SAKIT UMUM,C,2019
153,32,JAWA BARAT,3216,KABUPATEN BEKASI,RS UMUM HARAPAN KELUARGA JABABEKA,RUMAH SAKIT UMUM,C,2019
154,32,JAWA BARAT,3216,KABUPATEN BEKASI,RS AMANDA CIKARANG SELATAN,RUMAH SAKIT UMUM,C,2019
155,32,JAWA BARAT,3216,KABUPATEN BEKASI,RS UMUM DOKTER ADAM TALIB,RUMAH SAKIT UMUM,C,2019
156,32,JAWA BARAT,3216,KABUPATEN BEKASI,RS UMUM MITRA KELUARGA CIKARANG,RUMAH SAKIT UMUM,B,2019
157,32,JAWA BARAT,3216,KABUPATEN BEKASI,RS UMUM ASRI MEDIKA,RUMAH SAKIT UMUM,C,2019
158,32,JAWA BARAT,3216,KABUPATEN BEKASI,RS IBU DAN ANAK NURUL ANNISA,RUMAH SAKIT IBU DAN ANAK,D,2019
159,32,JAWA BARAT,3216,KABUPATEN BEKASI,RS MITRA MEDIKA NAROM,RUMAH SAKIT UMUM,C,2019
160,32,JAWA BARAT,3216,KABUPATEN BEKASI,RS UNI MEDIKA SETU BEKASI,RUMAH SAKIT UMUM,C,2019
161,32,JAWA BARAT,3216,KABUPATEN BEKASI,RS UMUM CIBITUNG MEDIKA,RUMAH SAKIT UMUM,C,2019
162,32,JAWA BARAT,3216,KABUPATEN BEKASI,RS UMUM METRO HOSPITALS,RUMAH SAKIT UMUM,C,2019
163,32,JAWA BARAT,3216,KABUPATEN BEKASI,RS IBU DAN ANAK CAHAYA MEDIKA,RUMAH SAKIT IBU DAN ANAK,C,2019
164,32,JAWA BARAT,3216,KABUPATEN BEKASI,RS UMUM HARAPAN MULIA,RUMAH SAKIT UMUM,C,2019
165,32,JAWA BARAT,3216,KABUPATEN BEKASI,RS UMUM CIKARANG MEDIKA,RUMAH SAKIT UMUM,C,2019
166,32,JAWA BARAT,3216,KABUPATEN BEKASI,RS UMUM KARTIKA HUSADA SETU,RUMAH SAKIT UMUM,C,2019
167,32,JAWA BARAT,3216,KABUPATEN BEKASI,RS UMUM AMANDA,RUMAH SAKIT UMUM,C,2019
168,32,JAWA BARAT,3216,KABUPATEN BEKASI,RS UMUM RIDHOKA SALMA,RUMAH SAKIT UMUM,C,2019
169,32,JAWA BARAT,3216,KABUPATEN BEKASI,RS UMUM PERMATA KELUARGA LIPPO CIKARANG,RUMAH SAKIT UMUM,C,2019
170,32,JAWA BARAT,3216,KABUPATEN BEKASI,RS UMUM TIARA,RUMAH SAKIT UMUM,C,2019
171,32,JAWA BARAT,3216,KABUPATEN BEKASI,RS UMUM AS-SHOFWAN,RUMAH SAKIT UMUM,D,2019
172,32,JAWA BARAT,3216,KABUPATEN BEKASI,RS UMUM MEDIROSSA 2,RUMAH SAKIT UMUM,C,2019
173,32,JAWA BARAT,3216,KABUPATEN BEKASI,RS UMUM PUSPA HUSADA,RUMAH SAKIT UMUM,D,2019
174,32,JAWA BARAT,3216,KABUPATEN BEKASI,RS IBU DAN ANAK GIZAR,RUMAH SAKIT IBU DAN ANAK,C,2019
175,32,JAWA BARAT,3216,KABUPATEN BEKASI,RS UMUM BUNDA MULIA,RUMAH SAKIT UMUM,D,2019
176,32,JAWA BARAT,3216,KABUPATEN BEKASI,RS UMUM KASIH INSANI SUKATANI,RUMAH SAKIT UMUM,D,2019
177,32,JAWA BARAT,3216,KABUPATEN BEKASI,RS IBU DAN ANAK SAYANG BUNDA,RUMAH SAKIT IBU DAN ANAK,C,2019
178,32,JAWA BARAT,3216,KABUPATEN BEKASI,RS UMUM BUDI ASIH,RUMAH SAKIT UMUM,D,2019
179,32,JAWA BARAT,3216,KABUPATEN BEKASI,RS UMUM OMNI CIKARANG,RUMAH SAKIT UMUM,B,2019
180,32,JAWA BARAT,3216,KABUPATEN BEKASI,RS UMUM TARUMAJAYA,RUMAH SAKIT UMUM,D,2019
181,32,JAWA BARAT,3216,KABUPATEN BEKASI,RS UMUM PINNA,RUMAH SAKIT UMUM,D,2019
182,32,JAWA BARAT,3216,KABUPATEN BEKASI,RS UMUM DR. IQBALI TAUFAN,RUMAH SAKIT UMUM,D,2019
183,32,JAWA BARAT,3216,KABUPATEN BEKASI,RS UMUM DAERAH CABANGBUNGIN,RUMAH SAKIT UMUM,D,2019
184,32,JAWA BARAT,3216,KABUPATEN BEKASI,RS UMUM PERMATA KELUARGA JABABEKA,RUMAH SAKIT UMUM,C,2019
185,32,JAWA BARAT,3216,KABUPATEN BEKASI,RS GRHA MM2100,RUMAH SAKIT UMUM,C,2019
186,32,JAWA BARAT,3216,KABUPATEN BEKASI,RS CENKA,RUMAH SAKIT UMUM,C,2019
187,32,JAWA BARAT,3216,KABUPATEN BEKASI,RSIA AISYAH QURRATAAIN,RUMAH SAKIT IBU DAN ANAK,C,2019
188,32,JAWA BARAT,3216,KABUPATEN BEKASI,RS ANANDA BABELAN,RUMAH SAKIT UMUM,C,2019
189,32,JAWA BARAT,3216,KABUPATEN BEKASI,RS EKA HOSPITAL BEKASI,RUMAH SAKIT UMUM,B,2019
190,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,RS JIWA PROVINSI JAWA BARAT,RUMAH SAKIT KHUSUS JIWA,A,2019
191,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,RS UMUM CAHYA KAWALUYAN,RUMAH SAKIT UMUM,C,2019
192,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,RS UMUM DAERAH CILILIN,RUMAH SAKIT UMUM,D,2019
193,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,RS UMUM DAERAH LEMBANG,RUMAH SAKIT UMUM,D,2019
194,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,RS UMUM KARISMA,RUMAH SAKIT UMUM,D,2019
195,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,RS UMUM IMC,RUMAH SAKIT UMUM,D,2019
196,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,RS UMUM DAERAH CIKALONG WETAN,RUMAH SAKIT UMUM,D,2019
197,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,RS IBU DAN ANAK KARTINI,RUMAH SAKIT IBU DAN ANAK,C,2019
